Frequency,Channel A
(Hz),(dBu)

0.00000000,-41.17999000
0.09313226,-47.70053000
0.18626451,-61.95872000
0.27939677,-73.15057000
0.37252903,-74.16702000
0.46566129,-76.38799000
0.55879354,-77.01659000
0.65192580,-78.87302000
0.74505806,-78.86617000
0.83819032,-81.13737000
0.93132257,-81.13531000
1.02445483,-82.70059000
1.11758709,-82.21984000
1.21071935,-84.01070000
1.30385160,-83.88405000
1.39698386,-84.74316000
1.49011612,-86.97105000
1.58324838,-85.35010000
1.67638063,-86.26382000
1.76951289,-85.63896000
1.86264515,-88.05187000
1.95577741,-87.82077000
2.04890966,-88.86092000
2.14204192,-88.33022000
2.23517418,-87.48984000
2.32830644,-89.90485000
2.42143869,-90.28688000
2.51457095,-90.36493000
2.60770321,-90.68877000
2.70083547,-89.60419000
2.79396772,-91.52179000
2.88709998,-90.69475000
2.98023224,-90.20377000
3.07336450,-93.90842000
3.16649675,-89.64409000
3.25962901,-93.37803000
3.35276127,-91.94904000
3.44589353,-93.46819000
3.53902578,-91.19284000
3.63215804,-94.39946000
3.72529030,-96.49098000
3.81842256,-92.74200000
3.91155481,-94.97774000
4.00468707,-93.53725000
4.09781933,-93.51407000
4.19095159,-94.76224000
4.28408384,-93.20642000
4.37721610,-92.44792000
4.47034836,-97.63595000
4.56348062,-93.98255000
4.65661287,-95.98605000
4.74974513,-95.90667000
4.84287739,-95.10022000
4.93600965,-94.84482000
5.02914190,-95.21071000
5.12227416,-101.82810000
5.21540642,-95.02343000
5.30853868,-96.90323000
5.40167093,-96.93142000
5.49480319,-95.17376000
5.58793545,-97.62932000
5.68106771,-96.10440000
5.77419996,-96.12453000
5.86733222,-99.38366000
5.96046448,-95.67561000
6.05359674,-98.02081000
6.14672899,-96.99953000
6.23986125,-98.32510000
6.33299351,-99.94559000
6.42612576,-96.49200000
6.51925802,-99.13853000
6.61239028,-98.31501000
6.70552254,-95.95308000
6.79865479,-100.16320000
6.89178705,-96.48077000
6.98491931,-96.95067000
7.07805157,-96.98598000
7.17118382,-99.40021000
7.26431608,-94.97923000
7.35744834,-101.27970000
7.45058060,-100.72380000
7.54371285,-95.47255000
7.63684511,-101.40800000
7.72997737,-101.10860000
7.82310963,-98.91188000
7.91624188,-99.25601000
8.00937414,-99.51381000
8.10250640,-103.11000000
8.19563866,-99.33290000
8.28877091,-97.21407000
8.38190317,-101.64600000
8.47503543,-96.85988000
8.56816769,-100.68810000
8.66129994,-103.40070000
8.75443220,-98.51852000
8.84756446,-94.74747000
8.94069672,-101.99800000
9.03382897,-101.26270000
9.12696123,-98.58222000
9.22009349,-107.19550000
9.31322575,-99.24329000
9.40635800,-102.21680000
9.49949026,-102.29060000
9.59262252,-95.26787000
9.68575478,-110.33240000
9.77888703,-99.04270000
9.87201929,-100.73540000
9.96515155,-102.72370000
10.05828381,-102.75950000
10.15141606,-99.32961000
10.24454832,-98.71431000
10.33768058,-105.47010000
10.43081284,-99.85542000
10.52394509,-100.16890000
10.61707735,-101.75470000
10.71020961,-101.32740000
10.80334187,-102.84660000
10.89647412,-101.78490000
10.98960638,-102.72970000
11.08273864,-96.03938000
11.17587090,-110.70760000
11.26900315,-96.82109000
11.36213541,-107.43420000
11.45526767,-99.60816000
11.54839993,-108.05270000
11.64153218,-102.23640000
11.73466444,-100.05690000
11.82779670,-108.33550000
11.92092896,-98.83418000
12.01406121,-108.43960000
12.10719347,-102.00730000
12.20032573,-102.49040000
12.29345798,-103.88050000
12.38659024,-100.58310000
12.47972250,-108.96600000
12.57285476,-104.33520000
12.66598701,-105.54190000
12.75911927,-98.78336000
12.85225153,-101.32200000
12.94538379,-111.28580000
13.03851604,-99.48067000
13.13164830,-105.46170000
13.22478056,-105.45530000
13.31791282,-103.46120000
13.41104507,-105.18670000
13.50417733,-101.55590000
13.59730959,-101.48180000
13.69044185,-105.55120000
13.78357410,-103.88290000
13.87670636,-100.81170000
13.96983862,-103.74260000
14.06297088,-99.17691000
14.15610313,-110.51270000
14.24923539,-101.80640000
14.34236765,-98.98301000
14.43549991,-103.66320000
14.52863216,-95.83962000
14.62176442,-102.40170000
14.71489668,-99.83797000
14.80802894,-109.43290000
14.90116119,-100.12460000
14.99429345,-96.08985000
15.08742571,-116.11470000
15.18055797,-105.03870000
15.27369022,-97.53693000
15.36682248,-99.14664000
15.45995474,-105.90780000
15.55308700,-141.42450000
15.64621925,-103.51490000
15.73935151,-102.71090000
15.83248377,-105.66670000
15.92561603,-110.35690000
16.01874828,-95.59215000
16.11188054,-94.44185000
16.20501280,-106.38140000
16.29814506,-104.46500000
16.39127731,-103.72360000
16.48440957,-107.23480000
16.57754183,-96.85524000
16.67067409,-106.93370000
16.76380634,-102.58640000
16.85693860,-115.26860000
16.95007086,-106.32440000
17.04320312,-105.19130000
17.13633537,-104.53320000
17.22946763,-103.09500000
17.32259989,-113.25480000
17.41573215,-99.33079000
17.50886440,-103.65260000
17.60199666,-109.18160000
17.69512892,-99.35690000
17.78826118,-108.02840000
17.88139343,-104.57930000
17.97452569,-105.28450000
18.06765795,-100.23340000
18.16079021,-104.38790000
18.25392246,-99.46724000
18.34705472,-101.37240000
18.44018698,-102.03950000
18.53331923,-101.08070000
18.62645149,-104.91400000
18.71958375,-108.18400000
18.81271601,-99.08035000
18.90584826,-101.03850000
18.99898052,-112.16470000
